text,hs_code,hs_chapter,hs_desc,language
"Soya beans, other - standard quality, bulk shipment, for international wholesale distribution, for mixed-lot cargo.",120190,Oil Seeds,"Soya beans, other",en
"Wooden headboard, upholstered, for bed, for cross-border shipment, palletized for container shipment.",940350,Furniture,Wooden bedroom furniture,en
เมล็ดกาแฟดิบ อาราบิก้า ยังไม่คั่ว,090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",th
"Other medium petroleum oils, packed for international trade, for bonded warehouse delivery, for 20ft container loading.",271019,Mineral Fuels,Other medium petroleum oils,en
"Printed circuits, meeting international standards, for regional retail supply chain, palletized for container shipment.",853400,Electronics,Printed circuits,en
"Dark beer from malt, bottled, 7% ABV",220300,Beverages,Beer made from malt,en
"Toilet and kitchen linen of cotton, commercial grade, for import, for bonded warehouse delivery, palletized for container shipment.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Refined copper cathodes, commercial grade, for import",740311,Metals,Refined copper cathodes,en
"Beans, fresh or chilled - standard quality, bulk shipment, for international wholesale distribution, with standard commercial invoice and packing list.",070820,Vegetables,"Beans, fresh or chilled",en
"Other wooden furniture for industrial/commercial use, for export under standard commercial terms, palletized for container shipment.",940360,Furniture,Other wooden furniture,en
Optical fibres and bundles for industrial/commercial use,900190,Instruments,Optical fibres and bundles,en
"Household refrigerators, compression for industrial/commercial use",841821,Machinery,"Household refrigerators, compression",en
"Instruments for measuring pressure - standard quality, bulk shipment, for regional retail supply chain, shipping term CIF.",902620,Instruments,Instruments for measuring pressure,en
"Car tires, new, all-season, size 225/45R17, for customs clearance and import declaration, packed in cartons.",401110,Rubber,New pneumatic tyres for cars,en
"Trade declaration: footwear with uppers of leather, new, for bonded warehouse delivery, for scheduled maritime transport.",640510,Footwear,Footwear with uppers of leather,en
"Soya beans, other for industrial/commercial use",120190,Oil Seeds,"Soya beans, other",en
"Frozen cooked prawns, tail-on",030617,Fish,Frozen shrimps and prawns,en
"Parts of turbo-jets, packed for international trade",841191,Machinery,Parts of turbo-jets,en
Photosensitive semiconductor devices for industrial/commercial use,854140,Electronics,Photosensitive semiconductor devices,en
"Other parts for motor vehicles - standard quality, bulk shipment, for bonded warehouse delivery, with standard commercial invoice and packing list.",870899,Vehicles,Other parts for motor vehicles,en
"Processing units for digital machines, packed for international trade, for export under standard commercial terms, with standard commercial invoice and packing list.",847150,Electronics,Processing units for digital machines,en
"Other electronic integrated circuits for industrial/commercial use, for bonded warehouse delivery, for mixed-lot cargo.",854239,Electronics,Other electronic integrated circuits,en
"Shipment of whiskies, FOB terms",220830,Beverages,Whiskies,en
"Export grade silicon, containing ≥99.99% si, certified",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Export grade road tractors for semi-trailers, certified",870120,Vehicles,Road tractors for semi-trailers,en
"Other beauty or make-up preparations, commercial grade, for import, for bonded warehouse delivery, packed in cartons.",330499,Cosmetics,Other beauty or make-up preparations,en
"Export grade petroleum oils, crude, certified, for international wholesale distribution, for 20ft container loading.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Trade declaration: tobacco, partly or wholly stemmed, new, for export under standard commercial terms, for 20ft container loading.",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Storage units for computers, commercial grade, for import, for bonded warehouse delivery, shipping term FOB.",847170,Electronics,Storage units for computers,en
"New all-terrain tyres for passenger vehicles, for bonded warehouse delivery, packed in cartons.",401110,Rubber,New pneumatic tyres for cars,en
"MacBook Pro, 13 inch, M2 chip",847130,Electronics,Portable digital computers <10kg,en
"Frozen cooked prawns, tail-on, for industrial procurement contract, for mixed-lot cargo.",030617,Fish,Frozen shrimps and prawns,en
"Other structures of iron or steel, packed for international trade",730890,Steel,Other structures of iron or steel,en
"Trade declaration: whiskies, new, for regional retail supply chain, with standard commercial invoice and packing list.",220830,Beverages,Whiskies,en
"Pepper, neither crushed nor ground, packed for international trade, for international wholesale distribution, for scheduled maritime transport.",090411,Spices,"Pepper, neither crushed nor ground",en
"Fresh organic Granny Smith apples, for export under standard commercial terms, shipping term FOB.",080810,Fruits,Fresh apples,en
"Aeroplanes, unladen weight 2000-15000kg, packed for international trade, for bulk procurement program, shipping term CIF.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Cocoa beans, whole or broken for industrial/commercial use",180100,Cocoa,"Cocoa beans, whole or broken",en
"Toilet and kitchen linen of cotton for industrial/commercial use, for cross-border shipment, shipping term CIF.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Bulbs, tubers for planting, meeting international standards, for international wholesale distribution, for scheduled maritime transport.",060110,Plants,"Bulbs, tubers for planting",en
"Footwear with uppers of leather, commercial grade, for import",640510,Footwear,Footwear with uppers of leather,en
"Fresh oranges for industrial/commercial use, for regional retail supply chain, packed in cartons.",080510,Fruits,Fresh oranges,en
"Trade declaration: unbleached plain weave cotton, new",520812,Textiles,Unbleached plain weave cotton,en
"Fresh oranges - standard quality, bulk shipment, for regional retail supply chain, with standard commercial invoice and packing list.",080510,Fruits,Fresh oranges,en
"Road tractors for semi-trailers, commercial grade, for import, for customs clearance and import declaration, for mixed-lot cargo.",870120,Vehicles,Road tractors for semi-trailers,en
"Mixtures of fruit juices - standard quality, bulk shipment",200990,Food Preparations,Mixtures of fruit juices,en
"Plastic carrier bags, polyethylene, for regional retail supply chain, for scheduled maritime transport.",392321,Plastics,Sacks and bags of ethylene polymers,en
"Toilet and kitchen linen of cotton, commercial grade, for import, for cross-border shipment, for scheduled maritime transport.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Trade declaration: cocoa beans, whole or broken, new, for industrial procurement contract, packed in cartons.",180100,Cocoa,"Cocoa beans, whole or broken",en
"Digital signal processors, IC chips, for regional retail supply chain, packed in cartons.",854231,Electronics,"Electronic integrated circuits, processors",en
"Parts of turbo-jets for industrial/commercial use, for international wholesale distribution, packed in cartons.",841191,Machinery,Parts of turbo-jets,en
"Instantaneous gas water heaters, meeting international standards, for regional retail supply chain, for mixed-lot cargo.",841911,Machinery,Instantaneous gas water heaters,en
"Fresh tomatoes from greenhouse production, for bonded warehouse delivery, for mixed-lot cargo.",070200,Vegetables,"Tomatoes, fresh or chilled",en
"Aviation gasoline, AVGAS 100LL, for bulk procurement program, shipping term FOB.",271012,Mineral Fuels,Light petroleum oils,en
4K Ultra HD colour television receiver,852872,Electronics,Other colour TV receivers,en
"Vegetable saps and extracts, commercial grade, for import, for export under standard commercial terms, for 20ft container loading.",130219,Plants,Vegetable saps and extracts,en
"Polyethylene, specific gravity <0.94, commercial grade, for import, for bonded warehouse delivery, shipping term FOB.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Milk with fat content 1-6%, commercial grade, for import, for export under standard commercial terms, palletized for container shipment.",040120,Dairy,Milk with fat content 1-6%,en
"Crude soya-bean oil, commercial grade, for import, for international wholesale distribution, for mixed-lot cargo.",150710,Oils,Crude soya-bean oil,en
"Granulated beet sugar, retail packs",170199,Sugar,Other cane or beet sugar,en
"Motor cars, >3000cc, quantity: various, for wholesale, for customs clearance and import declaration, for mixed-lot cargo.",870324,Vehicles,"Motor cars, >3000cc",en
"New pneumatic tyres for buses/lorries, quantity: various, for wholesale",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Wheat and meslin, other, meeting international standards, for international wholesale distribution, for scheduled maritime transport.",100199,Cereals,"Wheat and meslin, other",en
"Men's workwear pants, 100% cotton, for international wholesale distribution, for scheduled maritime transport.",620342,Garments,Men's trousers of cotton,en
